IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Ekspektasi Klaim,Ekspektasi Komisi,Ekspektasi Beban Attributable,Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-04-01,AJK_RELIFE,147998872.87577635,0.0,147998872.87577635,8769684.921898548,7972440.838089589,7452178.85264317,0.0,520261.9854464183,797244.083808959,-0.0,0,805302.0825739849,520261.9854464183,0.0,285040.0971275666,0,-7964382.839324563,0.0,0.0,0,0.0,-8484644.824770981,0,0.0,718117.1378721077,0.0,-7766527.686898874,140232345.18887746,0.0,140232345.18887746
2024-05-01,AJK_RELIFE,140232345.18887746,0.0,140232345.18887746,10044305.484855209,9131186.804413825,8621819.339409174,0.0,509367.4650046507,913118.6804413825,-0.0,0,22718577.678630155,509367.4650046507,0.0,22209210.213625506,0,12674272.193774946,0.0,0.0,0,0.0,12164904.728770297,0,0.0,801707.932635961,0.0,12966612.661406258,153198957.8502837,0.0,153198957.8502837
2024-06-01,AJK_RELIFE,153198957.8502837,0.0,153198957.8502837,8080513.895820191,7345921.723472901,6908576.298171359,0.0,437345.42530154163,734592.1723472901,-0.0,0,-809377.521653401,479514.9856080106,0.0,-1288892.5072614115,0,-8889891.417473592,0.0,0.0,0,0.0,-9369406.403081603,0,0.0,738916.6226960903,0.0,-8630489.780385513,144568468.0698982,0.0,144568468.0698982
2024-07-01,AJK_RELIFE,144568468.0698982,0.0,144568468.0698982,7744033.85500271,7040030.777275191,6603029.854197869,0.0,437000.92307732184,704003.0777275191,-0.0,0,-828965.5133850764,479184.04727349884,0.0,-1308149.5606585753,0,-8572999.368387787,0.0,0.0,0,0.0,-9052183.415661285,0,0.0,758668.6681599672,0.0,-8293514.747501317,136274953.32239687,0.0,136274953.32239687
2024-08-01,AJK_RELIFE,136274953.32239687,0.0,136274953.32239687,7350289.190640828,6682081.082400752,6248672.156978358,0.0,433408.92542239453,668208.1082400752,-0.0,0,-823396.7705899527,473968.20847945043,0.0,-1297364.9790694031,0,-8173685.96123078,0.0,0.0,0,0.0,-8647654.16971023,0,0.0,747094.2460215023,0.0,-7900559.923688727,128374393.39870813,0.0,128374393.39870813
2024-09-01,AJK_RELIFE,128374393.39870813,0.0,128374393.39870813,6975666.441242761,6341514.946584328,5909482.383241417,0.0,432032.56334291125,634151.4946584329,-0.0,0,-821650.2852544056,471244.5549458917,0.0,-1292894.8402002973,0,-7797316.726497167,0.0,0.0,0,0.0,-8268561.2814430585,0,0.0,790239.3108764305,0.0,-7478321.9705666285,120896071.4281415,0.0,120896071.4281415
2024-10-01,AJK_RELIFE,120896071.4281415,0.0,120896071.4281415,6605592.762913075,6005084.329920977,5574081.921052788,0.0,431002.4088681887,600508.4329920977,-0.0,0,-814736.5967813877,469556.9772066548,0.0,-1284293.5739880425,0,-7420329.359694463,0.0,0.0,0,0.0,-7889886.336901118,0,0.0,743493.610171731,0.0,-7146392.726729387,113749678.70141211,0.0,113749678.70141211
2024-11-01,AJK_RELIFE,113749678.7014121,0.0,113749678.7014121,6230567.279182766,5664152.071984332,5233153.246747504,0.0,430998.82523682853,566415.2071984333,-0.0,0,-828467.4198557211,469556.9772066548,0.0,-1298024.397062376,0,-7059034.699038487,0.0,0.0,0,0.0,-7528591.676245142,0,0.0,636043.8292930733,0.0,-6892547.846952069,106857130.85446003,0.0,106857130.85446003
2024-12-01,AJK_RELIFE,106857130.85446005,0.0,106857130.85446005,5851914.434094446,5319922.212813132,4892444.029628735,0.0,427478.1831843977,531992.2212813133,-0.0,0,-845322.3411373458,466048.322043378,0.0,-1311370.6631807238,0,-6697236.775231792,0.0,0.0,0,0.0,-7163285.09727517,0,0.0,562504.1579925047,0.0,-6600780.939282665,100256349.91517738,0.0,100256349.91517738
2023-12-01,RELIFE,6208656419.059469,30500325.359218683,6178156093.700251,114678219.63008606,116641961.4031066,111712778.9976472,133543.20590568508,4795639.199553706,11650841.819720086,-13614583.592740623,0,42500203.87066196,4874588.046634885,133543.20590568508,37492072.618121386,0,-72178015.7594241,4174800.0,0.0,0,4174800.0,-73011347.01196468,0,133543.20590568508,49756518.496377654,0.0,-23121285.309681334,6185401590.543882,30366782.153313,6155034808.39057
