Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Gabungan,934321.75302453,197.80635103,85.69676424000001,934209.64343774,-13381.301193890014,0.0,26390.31607816,947218.6583220098,702.21449905,1230423.37942898,12.5,-29.30399295,-16.04479983,7.62894588,1231075.37408113,11541.14791951,0.0,0.0,701.585,12242.73291951,1243318.10700064,80.79276253,12187.866608639995,9670.497760859998,195.40203,2321.9668177800004,0.0,0.0,2056.63346918,14325.292840349995,1257643.3998409898,-320249.46821826,9824.72669927997,0.0,9824.72669927997,2085.0,11909.72669927997,2023-04-01
Tradisional,2890.76866419,238.71366527,117.10984705,2769.16484597,11273.02201719,0.0,31914.5603836,45956.74724676,836.3686990499999,0.0,16.11717825,0.0353913500000089,499.75770017,9.97398813,1330.01860045,13691.963697759998,0.0,0.0,831.837,14523.800697759998,15853.819298209995,127.73733096,15029.516911630002,11921.64641543,301.865443,2806.0050532000005,0.0,0.0,1439.56147099,16596.815713580003,32450.63501179,0.0,13506.112234970002,0.0,13506.112234970002,4887.5,18393.61223497,2023-05-01
PAYDI,1073616.53597021,0.0,0.0,1073616.53597021,-22203.226884780004,0.0,0.0,1051413.30908543,0.0,1494701.85834541,0.0,0.0,0.0,0.0,1494701.85834541,0.0,0.0,0.0,0.0,0.0,1494701.85834541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.44802362,2201.44802362,1496903.30636903,-445489.9972836,0.0,0.0,0.0,0.0,0.0,2023-05-01
Gabungan,1076507.3046344,238.71366527,117.10984705,1076385.70081618,-10930.204867590004,0.0,31914.5603836,1097370.0563321898,836.3686990499999,1494701.85834541,16.11717825,0.0353913500000089,499.75770017,9.97398813,1496031.8769458598,13691.963697759998,0.0,0.0,831.837,14523.800697759998,1510555.6776436197,127.73733096,15029.516911630002,11921.64641543,301.865443,2806.0050532000005,0.0,0.0,3641.009494609999,18798.263737200003,1529353.9413808198,-445489.9972836,13506.112234970087,0.0,13506.112234970087,4887.5,18393.61223497009,2023-05-01
Tradisional,3614.49885435,278.88532117,162.10965278999998,3497.7231859700005,13891.58834912,0.0,38124.78543497,55514.09697006,908.79119905,0.0,16.11717825,68.42462238000002,601.05158187,12.56902388,1574.7192489299998,15984.29213784,0.0,0.0,930.887,16915.17913784,18489.89838677,148.94740629,19263.05741261,15554.11190295,367.928071,3341.01743866,0.0,0.0,1501.34057072,20913.34538962,39403.24377639,0.0,16110.853193669996,0.0,16110.853193669996,5657.5,21768.353193669995,2023-06-01
PAYDI,1284045.45693527,0.0,0.0,1284045.45693527,43689.83941871003,0.0,0.0,1327735.29635398,0.0,1725485.9204769705,0.0,0.0,0.0,0.0,1725485.9204769705,0.0,0.0,0.0,0.0,0.0,1725485.9204769705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3857.309200129999,3857.309200129999,1729343.2296771002,-401607.9333231202,0.0,0.0,0.0,0.0,0.0,2023-06-01
Gabungan,1287659.95578962,278.88532117,162.10965278999998,1287543.18012124,57581.42776783003,0.0,38124.78543497,1383249.39332404,908.79119905,1725485.9204769705,16.11717825,68.42462238000002,601.05158187,12.56902388,1727060.6397259,15984.29213784,0.0,0.0,930.887,16915.17913784,1743975.81886374,148.94740629,19263.05741261,15554.11190295,367.928071,3341.01743866,0.0,0.0,5358.649770849999,24770.65458975,1768746.47345349,-401607.9333231202,16110.853193670046,0.0,16110.853193670046,5657.5,21768.35319367005,2023-06-01
Tradisional,4336.849148509999,318.0853355,219.70123448,4238.465047489999,17121.37010683,0.0,45074.0255591,66433.86071342,960.64852699,0.0,36.03400068,176.38074066,708.89658187,10.10036589,1819.99221473,18563.35389084,0.0,0.0,1156.787,19720.14089084,21540.13310557,168.95229429,23083.42892711,18274.04451347,520.80903,4288.57538364,0.0,0.0,1696.79279585,24949.174017250003,46489.30712282,0.0,19944.5535906,0.0,19944.5535906,5355.0,25299.5535906,2023-07-01
PAYDI,1526227.48748627,0.0,0.0,1526227.48748627,95129.84601495006,0.0,0.0,1621357.33350122,0.0,1949107.54529561,0.0,0.0,0.0,0.0,1949107.54529561,0.0,0.0,0.0,0.0,0.0,1949107.54529561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5197.80663716,5197.80663716,1954305.35193277,-332948.0184315501,0.0,0.0,0.0,0.0,0.0,2023-07-01
Gabungan,1530564.33663478,318.0853355,219.70123448,1530465.95253376,112251.21612178006,0.0,45074.0255591,1687791.19421464,960.64852699,1949107.54529561,36.03400068,176.38074066,708.89658187,10.10036589,1950927.53751034,18563.35389084,0.0,0.0,1156.787,19720.14089084,1970647.67840118,168.95229429,23083.42892711,18274.04451347,520.80903,4288.57538364,0.0,0.0,6894.59943301,30146.980654410003,2000794.6590555904,-332948.0184315501,19944.55359059992,0.0,19944.55359059992,5355.0,25299.55359059992,2023-07-01
