Uraian,Pendapatan_premi,Premi_Reasuransi,Penurunan_kenaikan_CAPYBMP,Jumlah_Pendapatan_Premi_Neto,Hasil_Investasi,Imbalan_Jasa_DPLK_Jasa_Manajemen_Lainnya,Pendapatan_Lain,Jumlah_Pendapatan,Klaim_dan_Manfaat_Dibayar,Klaim_Penebusan_Unit,Klaim_Reasuransi,Kenaikan_Penurunan_Cadangan_Premi,Kenaikan_Penurunan_Cadangan_Klaim,Kenaikan_Penurunan_Cadangan_atas_Risiko_Bencana_Catastrophic,Jumlah_Beban_Klaim_dan_Manfaat,Beban_Komisi_Tahun_Pertama,Beban_Komisi_Tahun_Lanjutan,Beban_Komisi_Overriding,Beban_Lainnya,Jumlah_Biaya_Akuisisi,Jumlah_Beban_Asuransi,Beban_Pemasaran,Beban_Umum_dan_Administrasi,Beban_Pegawai_dan_Pengurus,Beban_Pendidikan_dan_Pelatihan,Beban_Umum_dan_Administrasi_Lainnya,Beban_Manajemen,Beban_Mortalitas,Beban_Usaha_Lainnya,Jumlah_Beban_Usaha,Jumlah_Beban,Kenaikan_Penurunan_Nilai_Aset,Laba_Rugi_Sebelum_Pajak,Pajak_Penghasilan,Laba_Rugi_Setelah_Pajak,Pendapatan_Komprehensif_Lain,Total_Laba_Rugi_Komprehensif,IFRS_MONTH
Gabungan,419225.90006327,151.53725462,494.96886589,419569.33167454,135986.32432935003,0.0,20484.93304779,576040.58905168,1018.21684554,628284.51882089,93.745,-207.07543403,-523.53225081,-4.89270528,628473.49027631,10628.99013393,0.0,0.0,2164.027791,12793.01792493,641266.50820124,98.14928116,14640.40145825,12221.53588085,221.312108,2197.5534694,0.0,0.0,4663.21685874,19401.76759815,660668.2757993899,-85637.45601635997,1009.769268650096,0.0,1009.769268650096,-3549.666,-2539.8967313499043,2024-04-01
Tradisional,1779.7406429699995,189.75867874,624.2409553100001,2214.22291954,7479.41879975,0.0,26561.07819739,36254.71991668,1260.13849931,0.0,93.745,-226.87835773000003,-1141.79027182,-3.86799963,-206.14312987,12360.01702973,0.0,0.0,2549.909504,14909.926533730002,14703.78340386,170.4318136,18286.82395787,15092.90400569,329.517915,2864.40203718,0.0,0.0,83.92744637999976,18541.18321785,33244.96662171,0.0,3009.753294969996,0.0,3009.753294969996,-3654.5285,-644.7752050300037,2024-05-01
PAYDI,557873.53988185,0.0,0.0,557873.53988185,139103.60319584,0.0,0.0,696977.14307769,0.0,737471.9399370699,0.0,0.0,0.0,0.0,737471.9399370699,0.0,0.0,0.0,0.0,0.0,737471.9399370699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5352.31992542,5352.31992542,742824.2598624899,-45847.11678479984,0.0,0.0,0.0,0.0,0.0,2024-05-01
Gabungan,559653.28052482,189.75867874,624.2409553100001,560087.7628013899,146583.02199559,0.0,26561.07819739,733231.8629943699,1260.13849931,737471.9399370699,93.745,-226.87835773000003,-1141.79027182,-3.86799963,737265.7968072,12360.01702973,0.0,0.0,2549.909504,14909.926533730002,752175.72334093,170.4318136,18286.82395787,15092.90400569,329.517915,2864.40203718,0.0,0.0,5436.2473718,23893.50314327,776069.2264842,-45847.11678479984,3009.7532949697925,0.0,3009.7532949697925,-3654.5285,-644.7752050302074,2024-05-01
Tradisional,2339.5624799,227.85849436,713.64547341,2825.349458950001,7836.606643460001,0.0,32241.18203226,42903.13813467,1421.36262608,0.0,93.745,-311.72213205,-1174.73534302,-7.83894795,-166.6787969400002,14574.03668976,0.0,0.0,2678.984504,17253.02119376,17086.34239682,190.09033632,23942.276093540004,19914.09704802,367.09612465,3661.08292087,0.0,0.0,91.09716934999985,24223.463599210005,41309.80599603,0.0,1593.3321386399984,0.0,1593.3321386399984,-3437.521,-1844.1888613600013,2024-06-01
PAYDI,744678.78222369,0.0,0.0,744678.78222369,189920.04016806005,0.0,0.0,934598.82239175,0.0,854022.64356325,0.0,0.0,0.0,0.0,854022.64356325,0.0,0.0,0.0,0.0,0.0,854022.64356325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7288.823730359999,7288.823730359999,861311.46729361,73287.35509814008,0.0,0.0,0.0,0.0,0.0,2024-06-01
Gabungan,747018.3447035899,227.85849436,713.64547341,747504.1316826399,197756.64681152004,0.0,32241.18203226,977501.96052642,1421.36262608,854022.64356325,93.745,-311.72213205,-1174.73534302,-7.83894795,853855.9647663101,14574.03668976,0.0,0.0,2678.984504,17253.02119376,871108.98596007,190.09033632,23942.276093540004,19914.09704802,367.09612465,3661.08292087,0.0,0.0,7379.920899709999,31512.287329570005,902621.27328964,73287.35509814008,1593.3321386397583,0.0,1593.3321386397583,-3437.521,-1844.1888613602416,2024-06-01
Tradisional,2976.85021716,266.34134114,764.70497166,3475.21384768,9648.62663997,0.0,38554.39578305,51678.2362707,1738.0933308499998,0.0,94.66753467,-393.04090675,-3213.70934297,-7.488486969999999,-1970.81294051,16672.12178546,0.0,0.0,2868.584504,19540.70628946,17569.893348949998,207.05635365,28092.821869970005,23289.181192910004,484.08294765,4319.557729409999,0.0,0.0,548.1588532200001,28848.037076840006,46417.93042579001,0.0,5260.305844909992,0.0,5260.305844909992,-5064.375,195.9308449099917,2024-07-01
PAYDI,920555.99009859,0.0,0.0,920555.99009859,201469.45182304,0.0,0.0,1122025.44192163,0.0,1057322.69788125,0.0,0.0,0.0,0.0,1057322.69788125,0.0,0.0,0.0,0.0,0.0,1057322.69788125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8319.359468609999,8319.359468609999,1065642.05734986,56383.38457176997,0.0,0.0,0.0,0.0,0.0,2024-07-01
Gabungan,923532.84031575,266.34134114,764.70497166,924031.20394627,211118.07846301,0.0,38554.39578305,1173703.6781923298,1738.0933308499998,1057322.69788125,94.66753467,-393.04090675,-3213.70934297,-7.488486969999999,1055351.8849407395,16672.12178546,0.0,0.0,2868.584504,19540.70628946,1074892.5912301997,207.05635365,28092.821869970005,23289.181192910004,484.08294765,4319.557729409999,0.0,0.0,8867.518321829999,37167.39654545001,1112059.9877756496,56383.38457176997,5260.30584491021,0.0,5260.30584491021,-5064.375,195.93084491021,2024-07-01
