IFRS_MONTH,NAMA_PRODUK,Kontrak_Baru_Periode_Berjalan,Accretion_Interest_unwind,Efek_Perubahan_Varians_n_Asumsi_Ekonomi,Amortisasi_CSM_Release,Contractual Service Margin
2024-09-01,RPUL,6015743.315418699,117856.0673255152,-77535.74053750205,-142580.4724615981,6476226.423212829
2023-12-01,SPUL,-51276865305.022125,583002677.4936309,-7340182733.152764,-1238136643.865031,35343210251.96653
2024-01-01,SPUL,2515373888.4092846,1288530783.9970798,15863601350.676043,-641262213.7852837,54369454061.26366
2024-02-01,SPUL,-8170649281.078116,433246036.3888653,-4431702645.782177,-498057834.32867897,41702290336.46355
2024-03-01,SPUL,1256660866.3999844,670471398.192392,6278927245.99178,-527500853.13532495,49380848993.91238
2024-04-01,SPUL,-2281914661.0660577,295118113.0608093,-7745248994.90527,-408654637.8196499,39240148813.182205
2024-05-01,SPUL,-832424039.394435,127708949.08888128,-2829136416.5424223,-402731640.2933673,35303565666.04086
2024-06-01,SPUL,-378381728.15971076,517182286.97017676,7002353025.033202,-474180215.7632566,41970539034.12128
2024-07-01,SPUL,308085782.6763198,478487329.43403924,2058789251.3419673,-489068015.30609775,44326833382.2675
2024-08-01,SPUL,-4577123269.319284,414530531.7932017,8387379047.790417,-525414840.59813917,48026204851.9337
2024-09-01,SPUL,-921697994.3999679,1151775592.3063505,11651098179.940819,-607478603.9538369,59299902025.827065
2024-01-01,SPUL_NEW,38181905.03841782,-353836.5931699257,-93081.43747569749,-1049044.8948789,36685942.1128933
2024-02-01,SPUL_NEW,212453380.05086917,1059603.581424668,375394.3708283079,-6362003.186586397,244212316.929429
2024-03-01,SPUL_NEW,494292575.4818889,5404702.177040426,-4680569.855909474,-18985522.139726974,720243502.5927218
2024-04-01,SPUL_NEW,178797569.4918809,-402748.1246491125,-1327163.2555177782,-22885864.650224328,874425296.0542115
2024-05-01,SPUL_NEW,869837667.0311882,-6287741.390250308,14684568.20476707,-43855314.74820623,1708804475.1517103
2024-06-01,SPUL_NEW,2106197929.562485,7970028.955480649,4477915.066513532,-94880449.5908535,3732569899.145336
2024-07-01,SPUL_NEW,1593675939.2234025,10277182.80350725,-12768746.869531129,-133333132.51311143,5190421141.789603
2024-08-01,SPUL_NEW,1169507297.5706751,9655168.883141665,1839807.1041266986,-160735857.189498,6210687558.158049
2024-09-01,SPUL_NEW,2720858465.366423,164133918.55090216,-123900171.12680244,-232565435.02487558,8739214335.923697
2023-12-01,STAR PROTECTION SECURE PLAN,16718989.772415241,29219771.58038894,-29094295.64933431,-704550.3823838489,82066147.92390001
2024-01-01,STAR PROTECTION SECURE PLAN,10195043.907469371,31842128.3152817,-31666925.974808935,-791007.3069627191,91645386.86487943
2024-02-01,STAR PROTECTION SECURE PLAN,0.0,31512469.929109342,-31332764.500671923,-792557.1282665478,91032535.1650503
2024-03-01,STAR PROTECTION SECURE PLAN,4336988.754488912,32311800.516569994,-32112733.709453046,-830788.796592105,94737801.93006405
2024-04-01,STAR PROTECTION SECURE PLAN,0.0,34127750.34575476,-33910201.44997317,-832693.7760285651,94122657.04981707
2024-05-01,STAR PROTECTION SECURE PLAN,0.0,36065269.02181318,-35828289.67834119,-834787.7137782313,93524848.67951083
2024-06-01,STAR PROTECTION SECURE PLAN,0.0,1740630.66743169,-1419195.6829920367,-837654.5858058084,93008629.07814467
2024-07-01,STAR PROTECTION SECURE PLAN,0.0,4089181.378755252,-3821886.6978266328,-840039.9194499908,92435883.8396233
2024-08-01,STAR PROTECTION SECURE PLAN,35416619.18722917,5341113.61531518,-5080967.739391167,-1141717.2380642574,126970931.66471224
2024-09-01,STAR PROTECTION SECURE PLAN,14187072.995616442,3613292.2434490384,-3849926.3782334235,-1258621.2532095644,139662749.27233472
